I_img.jpg,X,Y,Z,roll,pitch,yaw
I_179000141_0018_01_0023_P00_01.jpg.jpg,126424.5951,487493.0282,374.0535,0.187,-42.0024,89.9197
I_179000142_0018_01_0022_P00_01.jpg.jpg,126424.7835,487644.0541,374.4875,0.3648,-42.039,90.2198
I_179000143_0018_01_0021_P00_01.jpg.jpg,126423.413,487795.0799,373.7617,0.4204,-42.0071,90.1749
I_179000144_0018_01_0020_P00_01.jpg.jpg,126421.9881,487946.0885,374.3171,0.3571,-42.0456,90.126
I_179000145_0018_01_0019_P00_01.jpg.jpg,126422.6463,488097.1372,377.4877,0.5018,-42.041,90.3698
I_179000146_0018_01_0018_P00_01.jpg.jpg,126424.0561,488248.1302,378.3339,0.7071,-41.9994,90.6195
I_179000147_0018_01_0017_P00_01.jpg.jpg,126422.0695,488399.1423,378.3128,0.3457,-42.0417,90.176
I_179000148_0018_01_0016_P00_01.jpg.jpg,126420.3555,488550.1338,378.6608,0.4497,-42.0529,90.2759
I_179000149_0018_01_0015_P00_01.jpg.jpg,126422.5273,488701.1627,378.5082,0.5728,-42.081,90.4774
I_179000150_0018_01_0014_P00_01.jpg.jpg,126423.9353,488852.1676,374.9609,0.4741,-41.9837,90.3506
I_179000151_0018_01_0013_P00_01.jpg.jpg,126421.0947,489003.1884,372.4398,0.2989,-42.0228,90.1081
I_179000152_0018_01_0012_P00_01.jpg.jpg,126421.0118,489154.1488,371.9788,0.5645,-41.9725,90.5204
I_179000153_0018_01_0011_P00_01.jpg.jpg,126420.7314,489305.1764,370.0452,0.5763,-42.0672,90.5106
I_179000154_0018_01_0010_P00_01.jpg.jpg,126419.1295,489456.2141,367.6778,0.5191,-41.9817,90.44
I_179000155_0018_01_0009_P00_01.jpg.jpg,126417.0561,489607.3391,365.917,0.5885,-42.0038,90.4807
I_179000156_0018_01_0008_P00_01.jpg.jpg,126416.9102,489758.4087,364.7264,0.602,-41.9938,90.4981
I_179000157_0018_01_0007_P00_01.jpg.jpg,126417.5676,489909.3255,362.1589,0.5301,-41.9884,90.4612
I_179000158_0018_01_0006_P00_01.jpg.jpg,126416.6342,490060.2844,358.789,0.4614,-42.0156,90.3477
I_179000159_0018_01_0005_P00_01.jpg.jpg,126414.4444,490211.3022,356.9773,0.5358,-42.017,90.4324
I_179000160_0018_01_0004_P00_01.jpg.jpg,126414.5283,490362.3015,358.8819,0.6254,-42.0312,90.5462
I_179000161_0018_01_0003_P00_01.jpg.jpg,126417.8137,490513.173,365.0486,0.6984,-41.971,90.6134
I_179000162_0018_01_0002_P00_01.jpg.jpg,126420.157,490664.1918,369.2751,0.5634,-42.0511,90.49
I_179000163_0018_01_0001_P00_01.jpg.jpg,126418.3144,490815.1153,371.1075,0.5884,-42.0188,90.4863
I_179000165_0017_01_0001_P00_01.jpg.jpg,126197.6317,491090.3116,367.9498,0.4173,42.0294,-90.91
I_179000166_0017_01_0002_P00_01.jpg.jpg,126197.5013,490939.3622,364.4387,0.0707,42.0827,-90.4096
I_179000167_0017_01_0003_P00_01.jpg.jpg,126198.0258,490788.3489,361.7566,-0.3131,42.0275,-89.771
I_179000168_0017_01_0004_P00_01.jpg.jpg,126198.6532,490637.363,360.2181,-0.7424,42.0727,-89.3191
I_179000169_0017_01_0005_P00_01.jpg.jpg,126199.3756,490486.4528,361.6895,-0.4645,42.03,-89.4455
I_179000170_0017_01_0006_P00_01.jpg.jpg,126199.1332,490335.4443,365.2114,-0.4507,42.0299,-89.5722
I_179000171_0017_01_0007_P00_01.jpg.jpg,126198.558,490184.4107,368.9092,-0.6794,41.9721,-89.3125
I_179000172_0017_01_0008_P00_01.jpg.jpg,126199.721,490033.4246,369.5778,-0.6257,42.0178,-89.4427
I_179000173_0017_01_0009_P00_01.jpg.jpg,126202.8794,489882.3322,367.6049,-0.5452,42.0684,-89.4676
I_179000174_0017_01_0010_P00_01.jpg.jpg,126203.5724,489731.3474,363.7206,-0.4993,42.0355,-89.6152
I_179000175_0017_01_0011_P00_01.jpg.jpg,126202.3489,489580.294,359.8364,-0.688,42.0047,-89.2853
I_179000176_0017_01_0012_P00_01.jpg.jpg,126202.4974,489429.2582,358.0392,-0.6723,41.962,-89.3489
I_179000177_0017_01_0013_P00_01.jpg.jpg,126205.6177,489278.2477,358.5762,-0.4608,42.072,-89.6241
I_179000178_0017_01_0014_P00_01.jpg.jpg,126206.1389,489127.2257,359.792,-0.5994,42.0393,-89.4757
I_179000179_0017_01_0015_P00_01.jpg.jpg,126202.9403,488976.1758,359.807,-0.7359,42.0351,-89.2384
I_179000180_0017_01_0016_P00_01.jpg.jpg,126202.6709,488825.2344,358.4022,-0.5104,42.0936,-89.5705
I_179000181_0017_01_0017_P00_01.jpg.jpg,126204.6014,488674.2137,359.6388,-0.5256,41.9881,-89.5192
I_179000182_0017_01_0018_P00_01.jpg.jpg,126204.52,488523.1816,360.9038,-0.6253,42.0543,-89.3778
I_179000183_0017_01_0019_P00_01.jpg.jpg,126204.424,488372.1442,360.8165,-0.6358,41.994,-89.4159
I_179000184_0017_01_0020_P00_01.jpg.jpg,126207.6742,488221.144,359.917,-0.4354,41.9944,-89.6574
I_179000185_0017_01_0021_P00_01.jpg.jpg,126207.7475,488070.1373,358.9705,-0.7236,42.0912,-89.2996
I_179000186_0017_01_0022_P00_01.jpg.jpg,126205.9279,487919.1037,360.8033,-0.5079,41.9554,-89.6047
I_179000187_0017_01_0023_P00_01.jpg.jpg,126207.4412,487768.1157,365.868,-0.6674,42.058,-89.2939
I_179000188_0017_01_0024_P00_01.jpg.jpg,126209.7984,487617.0967,369.0284,-0.5567,42.0459,-89.4308
I_179000189_0017_01_0025_P00_01.jpg.jpg,126209.7189,487466.0171,369.8193,-0.5139,42.1044,-89.5399
I_179000190_0017_01_0026_P00_01.jpg.jpg,126207.8207,487315.0126,369.2115,-0.6948,42.0342,-89.3636
I_179000191_0017_01_0027_P00_01.jpg.jpg,126208.2222,487164.1008,367.4305,-0.4727,42.0104,-89.6436
I_179000192_0017_01_0028_P00_01.jpg.jpg,126209.5003,487013.0314,366.2954,-0.6616,42.0378,-89.3533
I_179000193_0017_01_0029_P00_01.jpg.jpg,126210.8592,486861.9611,364.0595,-0.533,41.9691,-89.5722
I_179000194_0017_01_0030_P00_01.jpg.jpg,126211.3173,486710.896,363.1898,-0.5554,41.9824,-89.4893
I_179000195_0017_01_0031_P00_01.jpg.jpg,126209.9121,486559.9347,364.8254,-0.6844,41.9569,-89.3097
I_179000196_0017_01_0032_P00_01.jpg.jpg,126210.6361,486408.9226,366.7149,-0.5955,41.9709,-89.4916
I_179000198_0016_01_0034_P00_01.jpg.jpg,125996.0897,486346.3576,376.4313,0.5087,-42.0527,90.4673
I_179000199_0016_01_0033_P00_01.jpg.jpg,125994.975,486497.2836,374.8167,0.5248,-42.0191,90.5096
I_179000200_0016_01_0032_P00_01.jpg.jpg,125995.5073,486648.3148,373.7312,0.663,-41.9659,90.5652
I_179000201_0016_01_0031_P00_01.jpg.jpg,125996.3513,486799.3221,372.9635,0.5074,-42.0493,90.5538
I_179000202_0016_01_0030_P00_01.jpg.jpg,125995.3494,486950.3602,373.4682,0.5865,-41.9605,90.5023
I_179000203_0016_01_0029_P00_01.jpg.jpg,125993.7115,487101.2918,375.8262,0.5591,-42.0023,90.4972
I_179000204_0016_01_0028_P00_01.jpg.jpg,125991.8982,487252.2798,380.1415,0.591,-41.973,90.5149
I_179000205_0016_01_0027_P00_01.jpg.jpg,125990.587,487403.2909,383.5439,0.6282,-42.0319,90.6041
I_179000206_0016_01_0026_P00_01.jpg.jpg,125991.4464,487554.309,383.0829,0.5228,-41.9708,90.5386
I_179000207_0016_01_0025_P00_01.jpg.jpg,125993.5651,487705.3235,380.196,0.5884,-41.9727,90.5205
I_179000208_0016_01_0024_P00_01.jpg.jpg,125993.571,487856.3234,375.8353,0.6259,-42.0139,90.5253
I_179000209_0016_01_0023_P00_01.jpg.jpg,125991.0662,488007.3432,371.2081,0.5006,-42.0478,90.4557
I_179000210_0016_01_0022_P00_01.jpg.jpg,125989.4881,488158.3752,369.9849,0.6717,-41.942,90.6511
I_179000211_0016_01_0021_P00_01.jpg.jpg,125987.8321,488309.3845,368.3706,0.5153,-42.075,90.4802
I_179000212_0016_01_0020_P00_01.jpg.jpg,125984.7694,488460.3998,370.3705,0.5483,-42.0156,90.4341
I_179000213_0016_01_0019_P00_01.jpg.jpg,125983.1243,488611.4648,376.295,0.4344,-41.9884,90.408
I_179000214_0016_01_0018_P00_01.jpg.jpg,125984.7215,488762.5147,384.2133,0.6,-41.9997,90.4488
I_179000215_0016_01_0017_P00_01.jpg.jpg,125988.6415,488913.4701,388.2041,0.5614,-41.9119,90.4704
I_179000216_0016_01_0016_P00_01.jpg.jpg,125990.8928,489064.4684,386.0829,0.6234,-41.9514,90.6124
I_179000217_0016_01_0015_P00_01.jpg.jpg,125989.7833,489215.449,383.9023,0.5051,-42.0636,90.4756
I_179000218_0016_01_0014_P00_01.jpg.jpg,125985.2419,489366.4692,383.5586,0.615,-42.0415,90.5523
I_179000219_0016_01_0013_P00_01.jpg.jpg,125983.6583,489517.5284,384.6672,0.4534,-42.035,90.3385
I_179000220_0016_01_0012_P00_01.jpg.jpg,125984.3284,489668.5713,384.8192,0.5262,-42.085,90.451
I_179000221_0016_01_0011_P00_01.jpg.jpg,125985.8553,489819.58,384.1153,0.6163,-41.9883,90.6213
I_179000222_0016_01_0010_P00_01.jpg.jpg,125985.3634,489970.6152,382.0757,0.5945,-41.9532,90.5343
I_179000223_0016_01_0009_P00_01.jpg.jpg,125983.76,490121.5817,383.6059,0.7129,-41.9703,90.8565
I_179000224_0016_01_0008_P00_01.jpg.jpg,125982.2275,490272.6243,382.7817,0.6064,-42.1496,90.618
I_179000225_0016_01_0007_P00_01.jpg.jpg,125981.161,490423.613,379.0836,0.5168,-42.0817,90.5118
I_179000226_0016_01_0006_P00_01.jpg.jpg,125981.2249,490574.6109,374.0802,0.7379,-42.0488,90.7327
I_179000227_0016_01_0005_P00_01.jpg.jpg,125980.1507,490725.5861,368.4749,0.5503,-42.0416,90.5417
I_179000228_0016_01_0004_P00_01.jpg.jpg,125979.4178,490876.6464,367.0001,0.7314,-41.9698,90.7519
I_179000229_0016_01_0003_P00_01.jpg.jpg,125981.0564,491027.6968,368.345,0.5966,-42.0493,90.6538
I_179000230_0016_01_0002_P00_01.jpg.jpg,125983.3577,491178.6484,367.9834,0.622,-41.9768,90.6063
I_179000231_0016_01_0001_P00_01.jpg.jpg,125981.6265,491329.6674,365.2646,0.3805,-41.9992,90.2782
I_179000236_0015_01_0001_P00_01.jpg.jpg,125767.4594,491551.9058,371.186,-0.7794,42.0709,-89.4685
I_179000237_0015_01_0002_P00_01.jpg.jpg,125766.6392,491400.8503,368.5353,-0.7633,42.1105,-89.2876
I_179000238_0015_01_0003_P00_01.jpg.jpg,125765.2237,491249.7921,363.4236,-0.7369,42.0483,-89.4309
I_179000239_0015_01_0004_P00_01.jpg.jpg,125765.6428,491098.8716,360.0333,-0.525,41.9775,-89.5618
I_179000240_0015_01_0005_P00_01.jpg.jpg,125765.6602,490947.8406,360.519,-0.6451,42.0583,-89.4324
I_179000241_0015_01_0006_P00_01.jpg.jpg,125766.6088,490796.824,363.8597,-0.6671,42.0535,-89.3921
I_179000242_0015_01_0007_P00_01.jpg.jpg,125767.7286,490645.8177,362.8438,-0.6341,41.9963,-89.4584
I_179000243_0015_01_0008_P00_01.jpg.jpg,125768.7256,490494.6999,360.3711,-0.5247,41.9823,-89.6203
I_179000244_0015_01_0009_P00_01.jpg.jpg,125766.5347,490343.6745,358.8643,-0.742,42.0095,-89.3028
I_179000245_0015_01_0010_P00_01.jpg.jpg,125764.9834,490192.6972,358.318,-0.6383,42.0373,-89.3695
I_179000246_0015_01_0011_P00_01.jpg.jpg,125767.7977,490041.7432,357.136,-0.4758,41.9894,-89.7044
I_179000247_0015_01_0012_P00_01.jpg.jpg,125771.3201,489890.7446,360.4349,-0.6892,41.9467,-89.3695
I_179000248_0015_01_0013_P00_01.jpg.jpg,125771.9414,489739.6375,361.7473,-0.7349,41.9991,-89.3909
I_179000249_0015_01_0014_P00_01.jpg.jpg,125770.6663,489588.6842,362.773,-0.7392,41.9397,-89.3891
I_179000250_0015_01_0015_P00_01.jpg.jpg,125771.6543,489437.5932,363.6152,-0.5461,41.9959,-89.5735
I_179000251_0015_01_0016_P00_01.jpg.jpg,125771.1169,489286.5309,364.6719,-0.5852,41.96,-89.4898
I_179000252_0015_01_0017_P00_01.jpg.jpg,125770.1674,489135.5376,363.3559,-0.6016,42.0042,-89.5321
I_179000253_0015_01_0018_P00_01.jpg.jpg,125770.2899,488984.5625,359.4781,-0.6106,41.99,-89.4838
I_179000254_0015_01_0019_P00_01.jpg.jpg,125770.5197,488833.5247,356.4438,-0.6114,41.939,-89.5443
I_179000255_0015_01_0020_P00_01.jpg.jpg,125771.8368,488682.5212,357.7036,-0.6747,42.0293,-89.3778
I_179000256_0015_01_0021_P00_01.jpg.jpg,125772.6148,488531.5159,359.5754,-0.6003,41.9833,-89.5047
I_179000257_0015_01_0022_P00_01.jpg.jpg,125773.4749,488380.4845,361.1748,-0.6649,41.9866,-89.4538
I_179000258_0015_01_0023_P00_01.jpg.jpg,125774.2501,488229.4359,363.1687,-0.6165,42.0197,-89.3936
